Sl No,CATEGORY,MIN. COURSES #,MIN. CREDITS #,COURSE CODE,COURSE TITLE,CR
245,,,,21CC3000,AWS CERTIFIED CLOUD PRACTITIONER(CLF-C01),0
246,,,,21CC3011,MICROSOFT CERTIFIED: AZURE FUNDAMENTALS (AZ-900),0
247,,,,21CC3111,ORACLE CERTIFIED PROFESSIONAL: JAVA SE 11 DEVELOPER-1Z0-819,0
248,,,,21CC3002,AWS CERTIFIED SOLUTIONS ARCHITECT - ASSOCIATE,0
249,,,,21CC3264,UNITY CERTIFIED ASSOCIATE GAME DEVELOPER EDITEDÂ ,0
250,,,,21CC3104,GOOGLE CLOUD CERTIFIED PROFESSIONAL DATA ENGINEER,0
251,,,,21CC3062,JUNIPER NETWORKS CERTIFIED ASSOCIATE - JUNOS-JN0-105,0
252,,,,21CC3088,TABLEAU DESKTOP SPECIALIST CERTIFICATION-TDS-C01,0
253,,,,21CC3245,AWS CERTIFIED MACHINE LEARNING - SPECIALITY,0
254,,,,21CC3272,MICROSOFT CERTIFIED: DEVOPS ENGINEER EXPERT - CERTIFICATION (AZ-400),0
255,,,,21CC3010,MICROSOFT CERTIFIED: AZURE DEVELOPER ASSOCIATE (AZ-204),0
256,,,,21CC3253,CERTIFIED ETHICAL HACKER,0
257,,,,21CC3124,PALO ALTO NETWORKS CERTIFIED CYBERSECURITY ASSOCIATE-PCCSA,0
258,,,,,,1
259,SPORTS,1,2,,,
260,,,,,,
261,,,,,,
262,,,,,,
263,,,,,,
264,,,,,,
265,,,,,,
266,,,,,,
267,,,,,,
268,,,,,,
269,,,,,,
270,,,,,,
271,SOCIAL WORK,,,,,
272,Placement Training Courses (PTC),,,,,
273,,,,,,
274,,,,,,
275,,,,,,
276,,,,,,
